drawerCode,stockQty,productName,productCode,description,minStock
E2_3_V_A,21,MR4 Module (Circontrol),3.01-PGS-MMO-10,Multi-relay module from Circontrol used for controlling parking guidance systems. It supports communication with host and reader devices via RS485 and provides 4 relay outputs for system integration. The device is DIN-rail mountable and includes pluggable terminals for easy wiring. Commonly used in vehicle counting; signaling; and automated control applications within smart parking infrastructure.,10
E2_3_V_B,21,TCP3RS Signal Convertor & Gateway,3.01-PGS-TSC-10,460803 TCP3RS Signal Convertor & Gateway,10
E2_3_VI,21,PGS Power Supply 240-48,3.01-ELE-PPB-10,200526 Power Supply 240-48,10
E2_4_I,21,0,#SPILL!,0,10
E2_4_II,21,0,#SPILL!,0,10
E2_5_I,21,0,#SPILL!,0,10
E2_5_II,21,0,#SPILL!,0,10
E2_6_I,21,0,#SPILL!,0,10
E2_6_II,21,0,#SPILL!,0,10
E2_7_I,21,0,#SPILL!,0,10
E2_7_II,21,0,#SPILL!,0,10
E3_0_I,21,--,--,--,10
E3_0_II,21,--,--,--,10
E3_0_III,21,--,--,--,10
E3_0_IV,21,--,--,--,10
E3_0_V,21,--,--,--,10
E3_0_VI,21,--,--,--,10
E3_1_I,21,--,--,--,10
E3_1_II,21,--,--,--,10
E3_1_III,21,--,--,--,10
E3_1_IV,21,--,--,--,10
E3_1_V,21,--,--,--,10
E3_1_VI,21,--,--,--,10
E3_1_VII,21,--,--,--,10
E3_2_I,21,--,--,--,10
E3_2_II,21,--,--,--,10
E3_2_III,21,--,--,--,10
E3_2_IV,21,--,--,--,10
E3_2_V,21,--,--,--,10
E3_2_VI,21,--,--,--,10
E3_2_VII,21,--,--,--,10
E3_3_I,21,--,--,--,10
E3_3_II,21,--,--,--,10
E3_3_III,21,--,--,--,10
E3_3_IV,21,--,--,--,10
E3_3_V,21,--,--,--,10
E3_3_VI,21,--,--,--,10
E3_3_VII,21,--,--,--,10
E3_4,21,--,--,--,10
E3_5,21,--,--,--,10
E3_6,21,--,--,--,10
E3_7,21,--,--,--,10
E4_1,21,--,--,--,10
E4_2,21,--,--,--,10
E4_3,21,--,--,--,10
F_NSW_0,21,--,--,--,10
F_NSW_1,21,--,--,--,10
F_NSW_2,21,--,--,--,10
F_NSW_3,21,--,--,--,10
F_NSW_4,21,--,--,--,10
F_QLD_0,21,--,--,--,10
F_QLD_1,21,--,--,--,10
F_QLD_2,21,--,--,--,10
F_QLD_3,21,--,--,--,10
F_QLD_4,21,--,--,--,10
F_VIC_0,21,--,--,--,10
F_VIC_1,21,--,--,--,10
F_VIC_2,21,--,--,--,10
F_VIC_3,21,--,--,--,10
F_VIC_4,21,--,--,--,10
